cluster,customers,avg_views,avg_carts,avg_removes,avg_purchases,avg_spending,avg_purchase_price,avg_conversion_rate
0,1626344,4.7,2.36,1.36,0.44,2.27,0.48,5.05
1,13014,154.89,147.9,135.55,43.87,203.74,8.27,220.31
