product_id,purchase_count,revenue
5560754,370,71726.72
5809910,7549,39202.47
5751422,3521,38229.81
5751383,2948,30138.29
5850281,214,29283.62
5849033,2782,28416.78
5792800,2711,27764.36
5877454,615,26832.09
5560756,120,24865.44
89343,81,24149.61
